filename	label	category	font	augment_type
000201.png	O	halfwidth_alnum	HiraginoMincho ProN	noise_0.02
000202.png	x	halfwidth_alnum	HiraginoKakuGothic W3	noise_0.02
000203.png	o	halfwidth_alnum	BIZ-UDGothic	original
000204.png	l	halfwidth_alnum	BIZ-UDMincho	contrast_1.1
000205.png	O	halfwidth_alnum	HiraginoMincho ProN	contrast_1.1
000206.png	x	halfwidth_alnum	HiraginoKakuGothic W3	contrast_1.1
000207.png	o	halfwidth_alnum	BIZ-UDMincho	original
000208.png	o	halfwidth_alnum	BIZ-UDGothic	rotate_2.0
000209.png	z	halfwidth_alnum	HiraginoKakuGothic W3	original
000211.png	o	halfwidth_alnum	BIZ-UDMincho	rotate_2.0
000212.png	m	halfwidth_alnum	UDEVGothic	rotate_2.0
000210.png	W	halfwidth_alnum	HiraginoMincho ProN	original
000214.png	z	halfwidth_alnum	HiraginoKakuGothic W3	rotate_2.0
000213.png	W	halfwidth_alnum	HiraginoMincho ProN	rotate_2.0
000215.png	o	halfwidth_alnum	BIZ-UDGothic	blur_1.0
000216.png	m	halfwidth_alnum	UDEVGothic	blur_1.0
000217.png	o	halfwidth_alnum	BIZ-UDMincho	blur_1.0
000218.png	z	halfwidth_alnum	HiraginoKakuGothic W3	blur_1.0
000219.png	o	halfwidth_alnum	BIZ-UDGothic	noise_0.02
000220.png	m	halfwidth_alnum	UDEVGothic	noise_0.02
000221.png	o	halfwidth_alnum	BIZ-UDMincho	noise_0.02
000222.png	o	halfwidth_alnum	BIZ-UDGothic	contrast_1.1
000223.png	m	halfwidth_alnum	UDEVGothic	contrast_1.1
000224.png	o	halfwidth_alnum	BIZ-UDMincho	contrast_1.1
000225.png	z	halfwidth_alnum	HiraginoKakuGothic W3	noise_0.02
000226.png	U	halfwidth_alnum	BIZ-UDGothic	original
000227.png	z	halfwidth_alnum	HiraginoKakuGothic W3	contrast_1.1
000228.png	l	halfwidth_alnum	UDEVGothic	original
000229.png	s	halfwidth_alnum	BIZ-UDMincho	original
000230.png	i	halfwidth_alnum	HiraginoKakuGothic W3	original
000231.png	s	halfwidth_alnum	BIZ-UDMincho	rotate_2.0
000232.png	W	halfwidth_alnum	HiraginoMincho ProN	blur_1.0
000233.png	U	halfwidth_alnum	BIZ-UDGothic	rotate_2.0
000234.png	i	halfwidth_alnum	HiraginoKakuGothic W3	rotate_2.0
000235.png	l	halfwidth_alnum	UDEVGothic	rotate_2.0
000236.png	W	halfwidth_alnum	HiraginoMincho ProN	noise_0.02
000237.png	W	halfwidth_alnum	HiraginoMincho ProN	contrast_1.1
000238.png	c	halfwidth_alnum	HiraginoMincho ProN	original
000240.png	i	halfwidth_alnum	HiraginoKakuGothic W3	blur_1.0
000239.png	s	halfwidth_alnum	BIZ-UDMincho	blur_1.0
000241.png	U	halfwidth_alnum	BIZ-UDGothic	blur_1.0
000242.png	l	halfwidth_alnum	UDEVGothic	blur_1.0
000243.png	c	halfwidth_alnum	HiraginoMincho ProN	rotate_2.0
000244.png	i	halfwidth_alnum	HiraginoKakuGothic W3	noise_0.02
000245.png	s	halfwidth_alnum	BIZ-UDMincho	noise_0.02
000246.png	i	halfwidth_alnum	HiraginoKakuGothic W3	contrast_1.1
000247.png	U	halfwidth_alnum	BIZ-UDGothic	noise_0.02
000249.png	s	halfwidth_alnum	BIZ-UDMincho	contrast_1.1
000248.png	l	halfwidth_alnum	UDEVGothic	noise_0.02
000250.png	U	halfwidth_alnum	BIZ-UDGothic	contrast_1.1
000252.png	s	halfwidth_alnum	HiraginoKakuGothic W3	original
000251.png	l	halfwidth_alnum	UDEVGothic	contrast_1.1
000253.png	i	halfwidth_alnum	BIZ-UDMincho	original
000254.png	x	halfwidth_alnum	BIZ-UDGothic	original
000255.png	v	halfwidth_alnum	UDEVGothic	original
000258.png	s	halfwidth_alnum	HiraginoKakuGothic W3	rotate_2.0
000256.png	i	halfwidth_alnum	BIZ-UDMincho	rotate_2.0
000257.png	x	halfwidth_alnum	BIZ-UDGothic	rotate_2.0
000259.png	v	halfwidth_alnum	UDEVGothic	rotate_2.0
000260.png	c	halfwidth_alnum	HiraginoMincho ProN	blur_1.0
000261.png	c	halfwidth_alnum	HiraginoMincho ProN	noise_0.02
000262.png	c	halfwidth_alnum	HiraginoMincho ProN	contrast_1.1
000263.png	x	halfwidth_alnum	BIZ-UDGothic	blur_1.0
000264.png	s	halfwidth_alnum	HiraginoKakuGothic W3	blur_1.0
000265.png	i	halfwidth_alnum	BIZ-UDMincho	blur_1.0
000266.png	i	halfwidth_alnum	HiraginoMincho ProN	original
000267.png	v	halfwidth_alnum	UDEVGothic	blur_1.0
000269.png	i	halfwidth_alnum	HiraginoMincho ProN	rotate_2.0
000268.png	x	halfwidth_alnum	BIZ-UDGothic	noise_0.02
000270.png	s	halfwidth_alnum	HiraginoKakuGothic W3	noise_0.02
000271.png	i	halfwidth_alnum	BIZ-UDMincho	noise_0.02
000272.png	x	halfwidth_alnum	BIZ-UDGothic	contrast_1.1
000273.png	v	halfwidth_alnum	UDEVGothic	noise_0.02
000274.png	s	halfwidth_alnum	HiraginoKakuGothic W3	contrast_1.1
000275.png	i	halfwidth_alnum	BIZ-UDMincho	contrast_1.1
000276.png	v	halfwidth_alnum	UDEVGothic	contrast_1.1
000277.png	H	halfwidth_alnum	BIZ-UDGothic	original
000278.png	j	halfwidth_alnum	BIZ-UDMincho	original
000280.png	z	halfwidth_alnum	UDEVGothic	original
000281.png	H	halfwidth_alnum	BIZ-UDGothic	rotate_2.0
000279.png	0	halfwidth_alnum	HiraginoKakuGothic W3	original
000283.png	z	halfwidth_alnum	UDEVGothic	rotate_2.0
000284.png	i	halfwidth_alnum	HiraginoMincho ProN	blur_1.0
000282.png	j	halfwidth_alnum	BIZ-UDMincho	rotate_2.0
000285.png	0	halfwidth_alnum	HiraginoKakuGothic W3	rotate_2.0
000286.png	i	halfwidth_alnum	HiraginoMincho ProN	noise_0.02
000287.png	i	halfwidth_alnum	HiraginoMincho ProN	contrast_1.1
000288.png	j	halfwidth_alnum	HiraginoMincho ProN	original
000289.png	j	halfwidth_alnum	HiraginoMincho ProN	rotate_2.0
000290.png	H	halfwidth_alnum	BIZ-UDGothic	blur_1.0
000291.png	z	halfwidth_alnum	UDEVGothic	blur_1.0
000292.png	j	halfwidth_alnum	BIZ-UDMincho	blur_1.0
000293.png	0	halfwidth_alnum	HiraginoKakuGothic W3	blur_1.0
000294.png	H	halfwidth_alnum	BIZ-UDGothic	noise_0.02
000297.png	H	halfwidth_alnum	BIZ-UDGothic	contrast_1.1
000295.png	z	halfwidth_alnum	UDEVGothic	noise_0.02
000296.png	j	halfwidth_alnum	BIZ-UDMincho	noise_0.02
000298.png	z	halfwidth_alnum	UDEVGothic	contrast_1.1
000299.png	j	halfwidth_alnum	BIZ-UDMincho	contrast_1.1
000301.png	c	halfwidth_alnum	BIZ-UDGothic	original
000300.png	0	halfwidth_alnum	HiraginoKakuGothic W3	noise_0.02
000302.png	o	halfwidth_alnum	UDEVGothic	original
000303.png	$	halfwidth_symbols	BIZ-UDMincho	original
000304.png	j	halfwidth_alnum	HiraginoMincho ProN	blur_1.0
000306.png	c	halfwidth_alnum	BIZ-UDGothic	rotate_2.0
000305.png	0	halfwidth_alnum	HiraginoKakuGothic W3	contrast_1.1
000308.png	o	halfwidth_alnum	UDEVGothic	rotate_2.0
000307.png	$	halfwidth_symbols	BIZ-UDMincho	rotate_2.0
000309.png	V	halfwidth_alnum	HiraginoKakuGothic W3	original
000310.png	j	halfwidth_alnum	HiraginoMincho ProN	noise_0.02
000311.png	j	halfwidth_alnum	HiraginoMincho ProN	contrast_1.1
000312.png	V	halfwidth_alnum	HiraginoKakuGothic W3	rotate_2.0
000313.png	/	halfwidth_symbols	HiraginoMincho ProN	original
000314.png	/	halfwidth_symbols	HiraginoMincho ProN	rotate_2.0
000315.png	c	halfwidth_alnum	BIZ-UDGothic	blur_1.0
000316.png	$	halfwidth_symbols	BIZ-UDMincho	blur_1.0
000317.png	o	halfwidth_alnum	UDEVGothic	blur_1.0
000318.png	c	halfwidth_alnum	BIZ-UDGothic	noise_0.02
000319.png	o	halfwidth_alnum	UDEVGothic	noise_0.02
000320.png	$	halfwidth_symbols	BIZ-UDMincho	noise_0.02
000322.png	o	halfwidth_alnum	UDEVGothic	contrast_1.1
000321.png	c	halfwidth_alnum	BIZ-UDGothic	contrast_1.1
000323.png	$	halfwidth_symbols	BIZ-UDMincho	contrast_1.1
000324.png	V	halfwidth_alnum	HiraginoKakuGothic W3	blur_1.0
000325.png	x	halfwidth_alnum	UDEVGothic	original
000326.png	s	halfwidth_alnum	BIZ-UDGothic	original
000328.png	]	halfwidth_symbols	BIZ-UDMincho	original
000327.png	/	halfwidth_symbols	HiraginoMincho ProN	blur_1.0
000329.png	x	halfwidth_alnum	UDEVGothic	rotate_2.0
000330.png	s	halfwidth_alnum	BIZ-UDGothic	rotate_2.0
000331.png	]	halfwidth_symbols	BIZ-UDMincho	rotate_2.0
000332.png	V	halfwidth_alnum	HiraginoKakuGothic W3	noise_0.02
000333.png	/	halfwidth_symbols	HiraginoMincho ProN	noise_0.02
000334.png	V	halfwidth_alnum	HiraginoKakuGothic W3	contrast_1.1
000335.png	/	halfwidth_symbols	HiraginoMincho ProN	contrast_1.1
000336.png	"	halfwidth_symbols	HiraginoMincho ProN	original
000337.png	1	halfwidth_alnum	HiraginoKakuGothic W3	original
000338.png	"	halfwidth_symbols	HiraginoMincho ProN	rotate_2.0
000339.png	x	halfwidth_alnum	UDEVGothic	blur_1.0
000340.png	]	halfwidth_symbols	BIZ-UDMincho	blur_1.0
000341.png	1	halfwidth_alnum	HiraginoKakuGothic W3	rotate_2.0
000342.png	s	halfwidth_alnum	BIZ-UDGothic	blur_1.0
000343.png	x	halfwidth_alnum	UDEVGothic	noise_0.02
000344.png	]	halfwidth_symbols	BIZ-UDMincho	noise_0.02
000345.png	x	halfwidth_alnum	UDEVGothic	contrast_1.1
000346.png	]	halfwidth_symbols	BIZ-UDMincho	contrast_1.1
000347.png	s	halfwidth_alnum	BIZ-UDGothic	noise_0.02
000348.png	s	halfwidth_alnum	BIZ-UDGothic	contrast_1.1
000349.png	i	halfwidth_alnum	UDEVGothic	original
000350.png	"	halfwidth_symbols	BIZ-UDMincho	original
000351.png	l	halfwidth_alnum	BIZ-UDGothic	original
000352.png	"	halfwidth_symbols	HiraginoMincho ProN	blur_1.0
000354.png	"	halfwidth_symbols	BIZ-UDMincho	rotate_2.0
000353.png	i	halfwidth_alnum	UDEVGothic	rotate_2.0
000355.png	1	halfwidth_alnum	HiraginoKakuGothic W3	blur_1.0
000356.png	l	halfwidth_alnum	BIZ-UDGothic	rotate_2.0
000357.png	"	halfwidth_symbols	HiraginoMincho ProN	noise_0.02
000358.png	"	halfwidth_symbols	HiraginoMincho ProN	contrast_1.1
000359.png	1	halfwidth_alnum	HiraginoKakuGothic W3	noise_0.02
000360.png	(	halfwidth_symbols	HiraginoMincho ProN	original
000361.png	1	halfwidth_alnum	HiraginoKakuGothic W3	contrast_1.1
000362.png	(	halfwidth_symbols	HiraginoMincho ProN	rotate_2.0
000364.png	"	halfwidth_symbols	BIZ-UDMincho	blur_1.0
000363.png	b	halfwidth_alnum	HiraginoKakuGothic W3	original
000365.png	i	halfwidth_alnum	UDEVGothic	blur_1.0
000367.png	l	halfwidth_alnum	BIZ-UDGothic	blur_1.0
000366.png	b	halfwidth_alnum	HiraginoKakuGothic W3	rotate_2.0
000368.png	"	halfwidth_symbols	BIZ-UDMincho	noise_0.02
000369.png	i	halfwidth_alnum	UDEVGothic	noise_0.02
000370.png	"	halfwidth_symbols	BIZ-UDMincho	contrast_1.1
000372.png	i	halfwidth_alnum	UDEVGothic	contrast_1.1
000371.png	l	halfwidth_alnum	BIZ-UDGothic	noise_0.02
000373.png	l	halfwidth_alnum	BIZ-UDGothic	contrast_1.1
000374.png	(	halfwidth_symbols	HiraginoMincho ProN	blur_1.0
000375.png	'	halfwidth_symbols	BIZ-UDMincho	original
000376.png	j	halfwidth_alnum	UDEVGothic	original
000377.png	L	halfwidth_alnum	BIZ-UDGothic	original
000378.png	(	halfwidth_symbols	HiraginoMincho ProN	noise_0.02
000379.png	'	halfwidth_symbols	BIZ-UDMincho	rotate_2.0
000380.png	j	halfwidth_alnum	UDEVGothic	rotate_2.0
000381.png	L	halfwidth_alnum	BIZ-UDGothic	rotate_2.0
000382.png	(	halfwidth_symbols	HiraginoMincho ProN	contrast_1.1
000383.png	b	halfwidth_alnum	HiraginoKakuGothic W3	blur_1.0
000384.png	]	halfwidth_symbols	HiraginoMincho ProN	original
000385.png	]	halfwidth_symbols	HiraginoMincho ProN	rotate_2.0
000386.png	b	halfwidth_alnum	HiraginoKakuGothic W3	noise_0.02
000387.png	b	halfwidth_alnum	HiraginoKakuGothic W3	contrast_1.1
000388.png	'	halfwidth_symbols	BIZ-UDMincho	blur_1.0
000389.png	j	halfwidth_alnum	UDEVGothic	blur_1.0
000390.png	L	halfwidth_alnum	BIZ-UDGothic	blur_1.0
000391.png	c	halfwidth_alnum	HiraginoKakuGothic W3	original
000392.png	'	halfwidth_symbols	BIZ-UDMincho	noise_0.02
000393.png	j	halfwidth_alnum	UDEVGothic	noise_0.02
000394.png	L	halfwidth_alnum	BIZ-UDGothic	noise_0.02
000395.png	c	halfwidth_alnum	HiraginoKakuGothic W3	rotate_2.0
000396.png	'	halfwidth_symbols	BIZ-UDMincho	contrast_1.1
000397.png	j	halfwidth_alnum	UDEVGothic	contrast_1.1
000398.png	L	halfwidth_alnum	BIZ-UDGothic	contrast_1.1
000399.png	]	halfwidth_symbols	HiraginoMincho ProN	blur_1.0
000400.png	+	halfwidth_symbols	BIZ-UDMincho	original
000402.png	J	halfwidth_alnum	BIZ-UDGothic	original
000401.png	{	halfwidth_symbols	UDEVGothic	original
000403.png	]	halfwidth_symbols	HiraginoMincho ProN	noise_0.02
